nama pemeriksaan,nama awam,katerogi,Harga
X-RAY CERVICALIS OPEN MOUTH,Foto rontgen leher (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY CERVITHORACAL,Foto rontgen cervithoracal (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY CLAVICULA,Foto rontgen clavicula (untuk melihat kondisi tulang dan organ terkait),,397000
X-RAY CLAVICULA BILATERAL,Foto rontgen clavicula bilateral (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY CRANIUM PA,Foto rontgen cranium pa (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY CRANIUM PA + LATERAL,Foto rontgen cranium pa + lateral (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY CRURIS,Foto rontgen cruris (untuk melihat kondisi tulang dan organ terkait),,590000
X-RAY CRURIS BILATERAL,Foto rontgen cruris bilateral (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY CUBITI ART.,Foto rontgen cubiti art. (untuk melihat kondisi tulang dan organ terkait),,590000
X-RAY CUBITI ART. BILATERAL,Foto rontgen cubiti art. bilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY DIGITI,Foto rontgen digiti (untuk melihat kondisi tulang dan organ terkait),,590000
X-RAY DIGITI BILATERAL,Foto rontgen digiti bilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY FACIAL BONE,Foto rontgen facial bone (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY FEMUR,Foto rontgen femur (untuk melihat kondisi tulang dan organ terkait),,590000
X-RAY FEMUR BILATERAL,Foto rontgen femur bilateral (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY FORAMEN OPTICUM,Foto rontgen foramen opticum (untuk melihat kondisi tulang dan organ terkait),,397000
X-RAY FROG POSITION,Foto rontgen frog position (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY GROIN LAT,Foto rontgen groin lat (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY HIP JOINT,Foto rontgen hip joint (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY HIP JOINT BILATERAL,Foto rontgen hip joint bilateral (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY HUMERUS,Foto rontgen humerus (untuk melihat kondisi tulang dan organ terkait),,610000
X-RAY HUMERUS BILATERAL,Foto rontgen humerus bilateral (untuk melihat kondisi tulang dan organ terkait),,997000
X-RAY KNEE AXIAL SUNRISE,Foto rontgen lutut (untuk melihat kondisi tulang dan organ terkait),,376000
X-RAY KNEE JOINT / ARCTIC GENU,Foto rontgen lutut (untuk melihat kondisi tulang dan organ terkait),,529000
X-RAY KNEE JOINT BILATERAL / ARCTIC GENU BILATERAL,Foto rontgen lutut (untuk melihat kondisi tulang dan organ terkait),,834000
X-RAY KNEE UNILATERAL + SKYLINE,Foto rontgen lutut (untuk melihat kondisi tulang dan organ terkait),,845000
X-RAY KNEEE BILATERAL + SKYLINE,Foto rontgen lutut (untuk melihat kondisi tulang dan organ terkait),,1180000
X-RAY LONG LEG,Foto rontgen long leg (untuk melihat kondisi tulang dan organ terkait),,1180000
X-RAY MANDIBULA (EISLER),Foto rontgen mandibula (eisler) (untuk melihat kondisi tulang dan organ terkait),,427000
X-RAY MANUS,Foto rontgen tangan (untuk melihat kondisi tulang dan organ terkait),,610000
X-RAY MANUS BILATERAL,Foto rontgen tangan (untuk melihat kondisi tulang dan organ terkait),,966000
X-RAY MASTOID,Foto rontgen mastoid (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY MAXILLA,Foto rontgen maxilla (untuk melihat kondisi tulang dan organ terkait),,387000
X-RAY NASAL BONE,Foto rontgen nasal bone (untuk melihat kondisi tulang dan organ terkait),,397000
X-RAY ORBITA,Foto rontgen orbita (untuk melihat kondisi tulang dan organ terkait),,600000
X-RAY OS PETROCUM,Foto rontgen os petrocum (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY PEDIS,Foto rontgen kaki (untuk melihat kondisi tulang dan organ terkait),,590000
X-RAY PEDIS (1 POSISI),Foto rontgen kaki (untuk melihat kondisi tulang dan organ terkait),,336000
X-RAY PEDIS BILATERAL,Foto rontgen kaki (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY PELVIS AP,Foto rontgen panggul (untuk melihat kondisi tulang dan organ terkait),,397000
X-RAY PELVIS LATERAL,Foto rontgen panggul (untuk melihat kondisi tulang dan organ terkait),,540000
X-RAY PELVIS OBLIQUE,Foto rontgen panggul (untuk melihat kondisi tulang dan organ terkait),,376000
X-RAY PILLAR CERVICAL POSITION,Foto rontgen leher (untuk melihat kondisi tulang dan organ terkait),,367000
X-RAY RIBS,Foto rontgen ribs (untuk melihat kondisi tulang dan organ terkait),,600000
X-RAY S.I. JOINT,Foto rontgen s.i. joint (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY SACRAL / COCCYX,Foto rontgen sacral / coccyx (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY SCAPULA,Foto rontgen scapula (untuk melihat kondisi tulang dan organ terkait),,356000
X-RAY SCAPULA BILATERAL,Foto rontgen scapula bilateral (untuk melihat kondisi tulang dan organ terkait),,895000
X-RAY SCOLIOSIS 6 POSITION,Foto rontgen scoliosis 6 position (untuk melihat kondisi tulang dan organ terkait),,2013000
X-RAY SCOLIOSIS CONTROL,Foto rontgen scoliosis control (untuk melihat kondisi tulang dan organ terkait),,845000
X-RAY SELLA TURSICA,Foto rontgen sella tursica (untuk melihat kondisi tulang dan organ terkait),,407000
X-RAY SHOULDER,Foto rontgen bahu (untuk melihat kondisi tulang dan organ terkait),,621000
X-RAY SHOULDER (1 POSISI),Foto rontgen bahu (untuk melihat kondisi tulang dan organ terkait),,376000
X-RAY SINUS PARANASALIS,Foto rontgen sinus paranasalis (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY STERNUM & COSTA,Foto rontgen sternum & costa (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY LUMBOSACRAL AP + LAT,Foto rontgen lumbosacral ap + lat (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY LUMBOSACRAL AP + LAT +OBL,Foto rontgen lumbosacral ap + lat +obl (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY THORACOLUMBALIS DYNAMIC LATERAL,Foto rontgen pinggang (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY THORAX ABDOMEN (NICU),Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,336000
X-RAY THORAX LAT,Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,457000
X-RAY THORAX PA + LAT,Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY THORAX PA + LORDOTIC POSISI,Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,672000
X-RAY TMJ,Foto rontgen tmj (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY TOP FOTO (LORDOTIC),Foto rontgen top foto (lordotic) (untuk melihat kondisi tulang dan organ terkait),,397000
X-RAY VERT. LUMBOSACRAL DYNAMIC LATERAL / FLEXI-EXTENSI,Foto rontgen vert. lumbosacral dynamic lateral / flexi-extensi (untuk melihat kondisi tulang dan organ terkait),,895000
X-RAY VERT. THORACOLUMBALIS AP+LAT+OBL,Foto rontgen pinggang (untuk melihat kondisi tulang dan organ terkait),,895000
X-RAY WATERS FOTO,Foto rontgen waters foto (untuk melihat kondisi tulang dan organ terkait),,621000
X-RAY WHOLE SPINE / LONG VIEW SPINE,Foto rontgen tulang belakang (untuk melihat kondisi tulang dan organ terkait),,1180000
X-RAY WRIST JOINT,Foto rontgen wrist joint (untuk melihat kondisi tulang dan organ terkait),,610000
X-RAY WRIST JOINT BILATERAL,Foto rontgen wrist joint bilateral (untuk melihat kondisi tulang dan organ terkait),,1007000
X-RAY ZYGOMATIC BONE,Foto rontgen zygomatic bone (untuk melihat kondisi tulang dan organ terkait),,457000
X-RAY THORAX AP/PA,Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,336000
X-RAY THORAX AP/PA (MOBILE),Foto rontgen dada / paru-paru (untuk melihat kondisi tulang dan organ terkait),,590000
CT BRONCOGRAPHY CONTRAST,CT Scan broncography contrast (pemeriksaan detail dengan teknologi CT Scan),,7115000
CT CARDIAC ANGIO CORONER,CT Scan cardiac angio coroner (pemeriksaan detail dengan teknologi CT Scan),,5631000
CT CARDIAC ANGIO CORONER & CALCIUM SCORING,CT Scan cardiac angio coroner & calcium scoring (pemeriksaan detail dengan teknologi CT Scan),,8457000
CT CAROTID & CIRCULUS WILLISI,CT Scan carotid & circulus willisi (pemeriksaan detail dengan teknologi CT Scan),,7288000
CT COLONOGRAPHY CONTRAST,CT Scan colonography contrast (pemeriksaan detail dengan teknologi CT Scan),,7654000
CT HEAD / BRAIN CONTRAST,CT Scan head / brain contrast (pemeriksaan detail dengan teknologi CT Scan),,4259000
CT LARYNX CONTRAST,CT Scan larynx contrast (pemeriksaan detail dengan teknologi CT Scan),,5489000
CT LOWER ABDOMEN CONTRAST,CT Scan lower abdomen contrast (pemeriksaan detail dengan teknologi CT Scan),,5491000
CT LOWER EXTREMITY CONTRAST,CT Scan lower extremity contrast (pemeriksaan detail dengan teknologi CT Scan),,6170000
CT MASTOID CONTRAST,CT Scan mastoid contrast (pemeriksaan detail dengan teknologi CT Scan),,4930000
CT MAXILLA / MANDIBULA CONTRAST,CT Scan maxilla / mandibula contrast (pemeriksaan detail dengan teknologi CT Scan),,4971000
CT NASOPHARYNX CONTRAST,CT Scan nasopharynx contrast (pemeriksaan detail dengan teknologi CT Scan),,4869000
CT NECK CONTRAST,CT Scan neck contrast (pemeriksaan detail dengan teknologi CT Scan),,5489000
CT ORBITA CONTRAST,CT Scan orbita contrast (pemeriksaan detail dengan teknologi CT Scan),,4758000
CT PELVIS CONTRAST,CT Scan pelvis contrast (pemeriksaan detail dengan teknologi CT Scan),,4864000
CT SINUS PARANASAL CONTRAST,CT Scan sinus paranasal contrast (pemeriksaan detail dengan teknologi CT Scan),,4453000
CT SMALL JOINT CONTRAST,CT Scan small joint contrast (pemeriksaan detail dengan teknologi CT Scan),,5489000
CT SPINE CERVICAL CONTRAST,CT Scan spine cervical contrast (pemeriksaan detail dengan teknologi CT Scan),,5754000
CT SPINE MYELOGRAPHY CONTRAST,CT Scan spine myelography contrast (pemeriksaan detail dengan teknologi CT Scan),,7461000
CT SPINE THORACAL CONTRAST,CT Scan spine thoracal contrast (pemeriksaan detail dengan teknologi CT Scan),,6892000
CT THORAX + ABDOMEN CONTRAST,CT Scan thorax + abdomen contrast (pemeriksaan detail dengan teknologi CT Scan),,7826000
CT THORAX + ABDOMEN NON CONTRAST,CT Scan thorax + abdomen non contrast (pemeriksaan detail dengan teknologi CT Scan),,6271000
CT THORAX CONTRAST,CT Scan thorax contrast (pemeriksaan detail dengan teknologi CT Scan),,6080000
CT TOTAL BODY CONTRAST,CT Scan total body contrast (pemeriksaan detail dengan teknologi CT Scan),,17574000
CT UPPER ABDOMEN CONTRAST,CT Scan upper abdomen contrast (pemeriksaan detail dengan teknologi CT Scan),,5363000
CT UPPER EXTREMITY CONTRAST,CT Scan upper extremity contrast (pemeriksaan detail dengan teknologi CT Scan),,5489000
CT UROGRAPHY CONTRAST,CT Scan urography contrast (pemeriksaan detail dengan teknologi CT Scan),,6947000
CT VERT LUMBOSACRAL CONTRAST,CT Scan vert lumbosacral contrast (pemeriksaan detail dengan teknologi CT Scan),,5346000
CT WHOLE ABDOMEN CONTRAST,CT Scan whole abdomen contrast (pemeriksaan detail dengan teknologi CT Scan),,5479000
CTA (ANGIO) ABDOMINAL AORTA,CT Scan a (angio) abdominal aorta (pemeriksaan detail dengan teknologi CT Scan),,6617000
CTA INTRACRANIAL,CT Scan a intracranial (pemeriksaan detail dengan teknologi CT Scan),,7166000
CTA (ANGIO) LOWER EXTREMITIES,CT Scan a (angio) lower extremities (pemeriksaan detail dengan teknologi CT Scan),,6791000
CTA MESENTERIC ARTERY,CT Scan a mesenteric artery (pemeriksaan detail dengan teknologi CT Scan),,6505000
CTA (ANGIO) NECK / CAROTID,CT Scan a (angio) neck / carotid (pemeriksaan detail dengan teknologi CT Scan),,6038000
CTA (ANGIO) RENALIS ARTERY,CT Scan a (angio) renalis artery (pemeriksaan detail dengan teknologi CT Scan),,6322000
CTA (ANGIO) THORACAL AORTA,CT Scan a (angio) thoracal aorta (pemeriksaan detail dengan teknologi CT Scan),,6994000
CTA (ANGIO) THORACO ABDOMINAL AORTA,CT Scan a (angio) thoraco abdominal aorta (pemeriksaan detail dengan teknologi CT Scan),,7634000
CTA (ANGIO) UPPER EXTREMITIES,CT Scan a (angio) upper extremities (pemeriksaan detail dengan teknologi CT Scan),,6810000
CT BRAIN + CERVICAL CONTRAST,CT Scan brain + cervical contrast (pemeriksaan detail dengan teknologi CT Scan),,8904000
CT BRAIN + CERVICAL NON CONTRAST,CT Scan brain + cervical non contrast (pemeriksaan detail dengan teknologi CT Scan),,5763000
CT HEAD / BRAIN NON CONTRAST,CT Scan head / brain non contrast (pemeriksaan detail dengan teknologi CT Scan),,2928000
CT LARYNX NON CONTRAST,CT Scan larynx non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT LOWER ABD NON CONTRAST,CT Scan lower abd non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT LOWER EXTREMITIES NON CONTRAST,CT Scan lower extremities non contrast (pemeriksaan detail dengan teknologi CT Scan),,3710000
CT MASTOID NON CONTRAST,CT Scan mastoid non contrast (pemeriksaan detail dengan teknologi CT Scan),,3314000
CT MAXILLA / MANDIBULA NON CONTRAST,CT Scan maxilla / mandibula non contrast (pemeriksaan detail dengan teknologi CT Scan),,3111000
CT NASOPHARYNX NON CONTRAST,CT Scan nasopharynx non contrast (pemeriksaan detail dengan teknologi CT Scan),,3111000
CT NECK NON CONTRAST,CT Scan neck non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT ORBITA NON CONTRAST,CT Scan orbita non contrast (pemeriksaan detail dengan teknologi CT Scan),,3162000
CT PELVIS NON CONTRAST,CT Scan pelvis non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT SINUS PARANASAL NON CONTRAST,CT Scan sinus paranasal non contrast (pemeriksaan detail dengan teknologi CT Scan),,3040000
CT SMALL JOINT NON CONTRAST,CT Scan small joint non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT THORAX NON CONTRAST,CT Scan thorax non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT TRANSTHORACAL BIOPSY (TTB) NON CONTRAST,CT Scan transthoracal biopsy (ttb) non contrast (pemeriksaan detail dengan teknologi CT Scan),,6373000
CT UPPER ABDOMEN NON CONTRAST,CT Scan upper abdomen non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT UPPER EXTREMITIES NON CONTRAST,CT Scan upper extremities non contrast (pemeriksaan detail dengan teknologi CT Scan),,3659000
CT UROGRAPHY NON CONTRAST,CT Scan urography non contrast (pemeriksaan detail dengan teknologi CT Scan),,4493000
CT VERT CERVICAL NON CONTRAST,CT Scan vert cervical non contrast (pemeriksaan detail dengan teknologi CT Scan),,4950000
CT VERT LUMBOSACRAL NON CONTRAST,CT Scan vert lumbosacral non contrast (pemeriksaan detail dengan teknologi CT Scan),,4942000
CT VERT THORACAL LUMBOSACRAL NON CONTRAST,CT Scan vert thoracal lumbosacral non contrast (pemeriksaan detail dengan teknologi CT Scan),,5898000
CT VERT THORACAL NON CONTRAST,CT Scan vert thoracal non contrast (pemeriksaan detail dengan teknologi CT Scan),,4564000
CT VERT THORACOLUMBAL NON CONTRAST,CT Scan vert thoracolumbal non contrast (pemeriksaan detail dengan teknologi CT Scan),,5804000
CT WHOLE ABDOMEN NON CONTRAST,CT Scan whole abdomen non contrast (pemeriksaan detail dengan teknologi CT Scan),,4391000
CT WHOLE BODY NON CONTRAST,CT Scan whole body non contrast (pemeriksaan detail dengan teknologi CT Scan),,17574000
CT (3D) FACE BONE,CT Scan (3d) face bone (pemeriksaan detail dengan teknologi CT Scan),,3557000
CT (3D) HEAD,CT Scan (3d) head (pemeriksaan detail dengan teknologi CT Scan),,3557000
CT (3D) LOWER EXTREMITIES,CT Scan (3d) lower extremities (pemeriksaan detail dengan teknologi CT Scan),,3375000
CT (3D) MAXILLA / MANDIBULLA,CT Scan (3d) maxilla / mandibulla (pemeriksaan detail dengan teknologi CT Scan),,3557000
CT (3D) PELVIS,CT Scan (3d) pelvis (pemeriksaan detail dengan teknologi CT Scan),,3924000
CT (3D) SPINE CERVICAL,CT Scan (3d) spine cervical (pemeriksaan detail dengan teknologi CT Scan),,3741000
CT (3D) SPINE LUMBAL,CT Scan (3d) spine lumbal (pemeriksaan detail dengan teknologi CT Scan),,3741000
CT (3D) SPINE THORACAL,CT Scan (3d) spine thoracal (pemeriksaan detail dengan teknologi CT Scan),,3741000
CT (3D) THORAX,CT Scan (3d) thorax (pemeriksaan detail dengan teknologi CT Scan),,3741000
CT CALCIUM SCORING / CA SCORE,CT Scan calcium scoring / ca score (pemeriksaan detail dengan teknologi CT Scan),,2155000
X-RAY DUCTULOGRAPHY,Foto rontgen ductulography (untuk melihat kondisi tulang dan organ terkait),,2369000
X-RAY MAMMOGRAPHY,Foto rontgen mammography (untuk melihat kondisi tulang dan organ terkait),,976000
PACKAGE FILM MAMMOGRAPHY,Package Film Mammography,,71000
1.5T MRA CAROTIS CIRCULUS WILLISI CONTRAST,1.5T Mra Carotis Circulus Willisi Contrast,,7146000
1.5T MRA CAROTIS CONTRAST,1.5T Mra Carotis Contrast,,5113000
1.5T MRA LUMBAL CONTRAST,1.5T Mra Lumbal Contrast,,5113000
1.5T MRI NASOPHARYNX CONTRAST,1.5T Mri Nasopharynx Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRA ABDOMINAL CONTRAST,1.5T Mra Abdominal Contrast,,5357000
1.5T MRA CERVICAL CONTRAST,1.5T Mra Cervical Contrast,,5113000
1.5T MRA HEAD CONTRAST,1.5T Mra Head Contrast,,5113000
1.5T MRA LOWER EXTREMITIES CONTRAST,1.5T Mra Lower Extremities Contrast,,5113000
1.5T MRA SPINAL CONTRAST,1.5T Mra Spinal Contrast,,4767000
1.5T MRA THORACAL CONTRAST,1.5T Mra Thoracal Contrast,,5113000
1.5T MRA THORACO ABDOMINAL CONTRAST,1.5T Mra Thoraco Abdominal Contrast,,7146000
1.5T MRA UPPER EXT. CONTRAST,1.5T Mra Upper Ext. Contrast,,5113000
1.5T MRI + MRA HEAD CONTRAST,1.5T Mri + Mra Head Contrast (pemeriksaan detail jaringan dan organ),,8518000
1.5T MRI ANKLE CONTRAST (1 SIDE),1.5T Mri Ankle Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI ANTEBRACHII CONTRAST (1 SIDE),1.5T Mri Antebrachii Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI BREAST CONTRAST,1.5T Mri Breast Contrast (pemeriksaan detail jaringan dan organ),,4980000
1.5T MRI CERVICAL CONTRAST,1.5T Mri Cervical Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI ELBOW  CONTRAST (1 SIDE),1.5T Mri Elbow  Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI FEMUR CONTRAST (1 SIDE),1.5T Mri Femur Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI HEAD CONTRAST,1.5T Mri Head Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI HEAD NAVIGASI CONTRAST,1.5T Mri Head Navigasi Contrast (pemeriksaan detail jaringan dan organ),,5317000
1.5T MRI HEAD PERFUSION CONTRAST,1.5T Mri Head Perfusion Contrast (pemeriksaan detail jaringan dan organ),,7156000
1.5T MRI HIP CONTRAST (1 SIDE),1.5T Mri Hip Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5692000
1.5T MRI HUMERUS CONTRAST (1 SIDE),1.5T Mri Humerus Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI KNEE CONTRAST (1 SIDE),1.5T Mri Knee Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI LIVER CONTRAST,1.5T Mri Liver Contrast (pemeriksaan detail jaringan dan organ),,6089000
1.5T MRI LOWER ABDOMEN / GYNAECOLOGY CONTRAST,1.5T Mri Lower Abdomen / Gynaecology Contrast (pemeriksaan detail jaringan dan organ),,5692000
1.5T MRI LUMBAL CONTRAST,1.5T Mri Lumbal Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI MOUTH CONTRAST,1.5T Mri Mouth Contrast (pemeriksaan detail jaringan dan organ),,5601000
1.5T MRI MRCP CONTRAST,1.5T Mri Mrcp Contrast (pemeriksaan detail jaringan dan organ),,5692000
1.5T MRI MUSC TMJ CONTRAST,1.5T Mri Musc Tmj Contrast (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI NECK / LARYNX CONTRAST,1.5T Mri Neck / Larynx Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI ORBITA CONTRAST,1.5T Mri Orbita Contrast (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI PLEXUS LUMBALIS CONTRAST,1.5T Mri Plexus Lumbalis Contrast (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI SHOULDER CONTRAST (1 SIDE),1.5T Mri Shoulder Contrast (1 Side) (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI SINUS PARANASALIS CONTRAST,1.5T Mri Sinus Paranasalis Contrast (pemeriksaan detail jaringan dan organ),,5313000
1.5T MRI SPECTROSCOPY CONTRAST,1.5T Mri Spectroscopy Contrast (pemeriksaan detail jaringan dan organ),,7146000
1.5T MRI SPINE SACRAL / COXYGEAL CONTRAST,1.5T Mri Spine Sacral / Coxygeal Contrast (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI THORACIC CONTRAST,1.5T Mri Thoracic Contrast (pemeriksaan detail jaringan dan organ),,5113000
1.5T MRI THORAX MEDIASTINUM / LUNG CONTRAST,1.5T Mri Thorax Mediastinum / Lung Contrast (pemeriksaan detail jaringan dan organ),,5479000
1.5T MRI UPPER ABDOMEN CONTRAST,1.5T Mri Upper Abdomen Contrast (pemeriksaan detail jaringan dan organ),,5692000
